D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_23_044.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_23_044.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_23_044.jpg, 0, 0, 0, 7.844433E-05
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_23_186.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_23_186.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_23_186.jpg, 0, 0, 0, 7.813136E-05
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_23_285.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_23_285.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_23_285.jpg, 0, 0, 0, 7.800695E-05
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_23_394.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_23_394.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_23_394.jpg, 0, 0, 0, 7.888341E-05
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_23_494.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_23_494.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_23_494.jpg, 0, 0, 0, 7.876167E-05
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_23_595.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_23_595.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_23_595.jpg, 0, 0, 0, 7.883891E-05
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_23_703.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_23_703.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_23_703.jpg, 0, 0, 0, 7.833652E-05
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_23_807.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_23_807.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_23_807.jpg, 0, 0, 0, 7.858067E-05
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_23_915.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_23_915.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_23_915.jpg, 0, 0, 0, 7.913399E-05
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_24_027.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_24_027.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_24_027.jpg, 0, 0.0378801, 0, 0.01194271
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_24_159.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_24_159.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_24_159.jpg, 0, 0.4330608, 0, 0.48316
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_24_278.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_24_278.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_24_278.jpg, 0, 0.7918191, 0, 1.37867
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_24_389.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_24_389.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_24_389.jpg, 0, 1, 0, 2.838881
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_24_502.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_24_502.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_24_502.jpg, 0, 1, 0, 4.010957
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_24_611.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_24_611.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_24_611.jpg, -0.3273801, 1, 0, 5.385444
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_24_730.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_24_730.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_24_730.jpg, -0.5384553, 1, 0, 6.707575
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_24_841.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_24_841.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_24_841.jpg, -0.2430849, 1, 0, 7.85383
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_24_947.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_24_947.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_24_947.jpg, 0, 1, 0, 9.186382
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_25_056.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_25_056.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_25_056.jpg, 0, 1, 0, 10.30134
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_25_157.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_25_157.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_25_157.jpg, -0.2716218, 1, 0, 11.36889
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_25_265.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_25_265.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_25_265.jpg, -0.4340232, 1, 0, 12.51384
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_25_378.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_25_378.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_25_378.jpg, -0.06128727, 1, 0, 13.68194
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_25_482.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_25_482.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_25_482.jpg, 0, 1, 0, 14.68015
D:\torrent\data\simulator-windows-64\IMG\center_2018_12_28_07_14_25_601.jpg, D:\torrent\data\simulator-windows-64\IMG\left_2018_12_28_07_14_25_601.jpg, D:\torrent\data\simulator-windows-64\IMG\right_2018_12_28_07_14_25_601.jpg, -0.135336, 1, 0, 15.94913
